-974,-12043,-7138,-5110,-1033,-18265,-6396,-1250,12715,-18384,17188,-18001,-3826,-11773,17247,-1485,-6806,12717,2463,11003,12337,20667,4282,-16640,-3630,2478,-8441,17633,-6263,1302,-15615,11163,-18191,16617,-9737,1873,10642,15001,1168,28752,8304,30214,-7657,3965,28213,-4306,-223,207,-5003,-789,-20576,-20763,1238,6264,-7299,13785,10724,10677,-8330,-25468,19961,-3040,25300,-163,7029,10113
66,-22101,-5510,24208,9237,34374,-19018,13518,11748,-715,29314,13943,-12398,-17417,24182,-22165,2400,16271,-1559,-19120,16233,14317,-9231,21110,8147,-27065,-3532,15979,3985,14226,13002,2135,-15519,17731,26565,6934,14960,-13724,-17261,-11770,-24411,-5068,-7424,-3354,13811,-12219,-23363,-7065,19895,-13436,9717,4085,5131,2980,12036,5317,-3934,-2198,19489,-9040,-9015,34023,13855,-8278,-746,6498
-15382,-4769,9261,-15209,19786,-5502,-11491,-5968,-21105,27847,-7799,1651,-6859,25220,16589,3422,-1898,3647,18093,-5649,-9907,-26437,15750,8021,7439,-3355,-5329,12141,-10110,-26518,2788,26242,7841,-13762,-1733,-7287,-10083,12109,-635,-30710,14962,12022,21588,5253,-1790,-31174,18022,-11091,9593,1907,-8124,20895,28783,6463,6267,-1382,-22471,-19038,-1228,-10379,4258,-4339,-8233,17718,-8455,12350
-7508,-17959,-6455,31963,31963,-637,-16743,-3798,-3068,1427,8761,11545,-2210,-12002,20802,27722,-1627,11111,-4862,-14766,-4349,11578,32316,3563,-47918,8682,-26168,8032,-11747,-28291,6858,20289,-4166,-6857,12674,6648,-3117,14568,-13752,3194,-16347,-7332,1437,-10398,2184,31438,-10647,6499,18929,-12031,10966,11425,-15209,-4249,-12233,14742,19789,17997,-3804,11546,5753,938,-10587,9255,-8586,-14153
6378,25487,7416,3043,12593,-19791,21576,-15618,-8049,18006,2708,17920,3957,24414,-14463,4226,12829,-8076,-4251,18952,-1585,-17479,16841,-17925,5872,21727,6198,8386,4508,-11331,2495,18065,-22062,-8730,18338,-17642,-7904,25401,6288,-6199,-17004,10873,3494,8922,16710,22237,-21085,23133,17923,26265,-7717,-9399,3831,25774,-8845,3300,-13234,10117,-26697,8007,-5723,2128,-2412,-14566,5632,-4435
-12363,17337,3104,7403,-3085,30469,23815,-17610,-2412,6822,-511,15550,12861,5009,-21459,-8593,-2788,18613,7838,20771,23958,-15119,922,13294,5402,24656,14545,-433,-9390,11907,-15163,-23520,22723,1997,27881,7576,-11238,16600,11448,-4132,-1211,-3786,5081,13518,19198,17093,10112,9097,7202,8277,6346,2107,29728,8870,-11254,36490,-5151,-3069,-10589,11409,8733,12875,883,-2064,504,17032
2869,-12229,-10154,-6512,3133,-293,2487,-10035,-908,-19991,-9016,-1687,-14045,6605,15751,-1346,-20978,-21968,-9308,-13545,26480,-9094,984,-4103,-10881,-7679,6850,-12542,16242,12358,-12322,5448,12588,-4345,-1139,-1093,461,5713,10534,1681,26701,16048,5917,-9325,16191,-7787,11328,1607,11430,-906,737,8524,-897,7431,15917,-8244,4012,5736,9473,-12796,-9848,-4849,-17877,-5625,-13420,14583
8724,4910,3008,11598,-9768,13958,-2417,-6917,6139,7522,-11665,-3974,-9320,2758,34,-16701,-1196,-674,4972,-7179,8597,-11770,6367,-21275,11382,-1370,6372,2618,12908,-13065,-18600,7999,5585,-1079,-4327,-5478,64,-2637,8990,-10852,918,-3554,-7791,-1694,2648,-4080,-1351,-12387,1382,1140,-9912,-19328,1474,-2052,-7435,-4656,-8377,153,7556,2602,4229,10691,687,-252,-8639,-5946

961,3218,-7109,-6335,9482,-2803,-2710,116,-18582,4167,2055,4239,-5070,13328,4735,7820,-3477,-13628,-527,-2114,-8433,-13059,4651,-9640,6487,300,3612,-3447,5396,-8504,-12995,-1450,-21991,8341,-10958,-14796,-13052,-3373,-11264,2559,-2373,10359,18094,-30138,-23073,7511,-4558,-9702,-14191,-1446,1515,8277,6416,15948,-8805,16024,-18034,-3996,-788,3859,3739,7362,-12403,13854,-2456,-8190
6723,2236,-1157,-12917,-13362,-6320,-565,-35562,-9471,-31733,-21992,12951,-16181,-22767,6883,-13069,-17572,-21976,-19802,-5576,1630,-9220,-19536,-10762,-18178,-30030,-12432,-9881,-17462,-12584,-6233,-15238,478,-22949,5026,484,1083,8646,-26132,-11999,2082,-3311,-27801,9119,-14213,-6781,-23331,-6001,-30298,-23815,-24404,-5747,1765,-4858,15577,18679,-17188,-12627,-11477,-16053,-5051,-17354,-6390,21468,-10190,9203
-12153,-6884,20651,-11019,-15323,3260,-30955,-19290,-15309,-29993,3973,-8390,-5904,-7504,-3378,-2407,-4988,-4302,-20597,-12829,-29264,-8321,-46269,-184,-16897,-19708,-5365,-9894,-15672,-39676,33822,-6308,-5398,-20138,-12567,-25451,-2259,-11291,-5683,-30766,-26446,3763,-8718,-2854,-15794,-23774,-19072,12319,-45726,-12452,-31479,-17850,-20489,-14497,-17139,-15421,-6489,-10336,-16463,-25404,-27566,-19392,-19213,-6481,5308,2476
-9270,-16300,-3945,1887,20125,-38656,-18584,-4292,-17540,182,-56588,-15747,4072,-27375,-6919,-15316,-26624,20570,-12846,-30669,2277,-3451,-3635,928,-17718,7565,-7362,15952,-8237,-4609,-23446,-3833,4911,-20604,-4277,-12799,4995,-5440,-1374,-12941,-11520,-23281,2907,-13420,-17032,9912,-5629,-38327,-10706,-23288,1826,-26348,-11861,-29172,-12417,-7923,-37205,-30093,-25821,2032,18,-30069,-13290,-15916,-14668,-4603
-1749,-17235,-7761,-8294,-4134,-31699,-6182,21687,2671,6456,-17743,-12082,-4025,-8829,-30735,-19009,-33475,-39967,-16667,22960,25020,-6854,-10042,-36279,-18434,-21096,-29056,-14872,-1638,8581,7826,-31697,-4753,-18952,-5014,-24518,-1085,-20814,-11716,-10083,-2026,-8420,-33545,-7970,-17825,-29195,-4007,-18003,1641,-7192,-4644,2000,-3156,2496,1290,21638,-13988,30102,-16291,-38847,6026,14932,-9385,329,-1122,-3627
-9215,2999,-35357,-3881,976,-4383,-3613,-12718,-8290,-3433,-17656,-17396,898,15410,-875,21505,-2490,-20634,9764,12514,-27900,-13998,-6980,-1651,7399,-20887,-30275,-12183,4692,-14338,-22903,-17176,-9641,-29574,-17379,-34219,-11595,10314,-8482,-26888,4572,18269,-8304,-40752,-5669,-9101,-7538,-16491,-12360,-23796,-23657,-2882,-32953,-8481,-16809,-20911,-26805,787,-3987,-15691,3367,-17658,-14731,3563,-25502,8517
-16913,-8506,-9257,-4933,-22801,-28765,-23778,-9418,-34279,-34701,-2566,-26240,-20776,5404,-15851,-30340,-50692,-5404,-12870,-44728,-19953,11444,-2026,-7243,-16371,-9627,-20961,6491,-22733,-37813,-23850,-15610,5240,-11908,-101,-43955,7909,-27912,-14182,-27914,-1439,-11255,3847,-26788,-1055,-29042,-23784,-9367,2483,-8456,-6056,-20224,-6955,-8485,7950,-14295,-25160,-21913,-2179,-17515,-21664,1638,-7740,-19840,-6470,-3325
-12640,-9456,-21435,-18987,-43883,-18963,-32702,-2078,1251,17603,856,-12024,-13766,-15948,-10385,-23834,-11238,-32643,-5091,-6713,-25115,-2266,-15458,-32970,23124,-25673,-15736,29862,-3683,-26577,-16864,3595,-3803,-19839,-32164,-38898,7037,586,-26163,-37284,-3090,-10612,6502,-39942,2137,-6638,14888,-11913,-14899,-16295,-20626,-9127,-31915,-600,2556,-11297,-9918,-51349,-13215,-15530,-16934,-22834,-24575,-1237,-26910,-5323
5560,-1706,-1877,-32764,6175,9981,-4323,9114,2222,-4839,-15508,-4392,-8609,-22459,-1386,-14406,-6992,-1101,-28884,-13578,-975,-37967,13579,-7601,-16010,-11520,-10018,-10168,-15383,-43188,18518,-16337,-18107,-23886,-12584,-26172,-47132,-22843,-13815,22281,-19765,-1925,-37100,-20749,7011,-9967,1330,-10771,7326,-4075,-29990,-9242,-26746,-24651,6474,-14353,-6449,-6253,-12170,-9715,-3322,-16489,-7051,-24668,-15566,643
-22027,-14538,-20817,-12802,-22460,5295,-180,2438,-29309,2805,-23068,-5703,-9693,6537,-11183,-15638,-35606,-18454,-19272,-16839,-32392,-18319,9915,19420,-3909,-22604,5495,-24325,5101,-2391,-21265,2916,-30765,-26081,-7945,-7900,5808,-19232,-17699,-9469,6436,-31439,-9610,3236,-20301,5952,-7486,-13420,-13375,-804,-7951,-24272,11704,13839,-41070,-19400,13192,191,-10322,-25437,-23330,-8896,-16260,-16790,7969,1035
7662,-6766,-12788,-15196,-30617,-6388,-1758,-8373,-21856,-14283,-2643,-591,-21429,-5233,-38041,-24937,-2302,-34023,-4765,-3684,9664,-5824,-31619,-44797,-20930,-16183,-239,-15657,-10543,3220,-14833,8903,-13883,-7991,6340,-6921,-23014,-17335,-34870,-29847,-434,405,-3424,-27043,669,-6644,-20450,-37544,-902,-12732,-8891,-15243,-9734,-33219,-15404,-5895,20294,-9830,-13962,7963,-7226,-20820,-11755,-4578,-21873,10447
1775,2485,-16975,239,-2598,-38184,-22034,1940,-4679,-12132,-41987,-3427,-13508,-20716,-14353,-3349,-6560,10545,-13750,-11525,-237,-28137,1693,-40089,-22760,-21088,-9544,-25610,4377,4841,-15296,-4829,364,-15683,-22691,-9899,7686,-38825,-212,-5945,-30694,-17262,-17616,8953,6337,4155,7158,-13487,-11385,-27181,-23617,-17174,-27772,-6320,-20349,-17557,421,-12026,-15702,-37639,-43271,2819,-8907,-16420,-8337,-19108
3572,-25124,-2908,29951,17851,14190,-17915,-20844,-4085,5533,-8845,16381,-22788,-21363,2561,-13268,-16802,-40323,8462,17929,-21949,-14989,-5956,6099,-31648,-18663,-3210,10494,-29928,-20585,-2855,-3982,16632,-8567,-26668,-32858,-5655,-36562,-8851,7672,-37697,990,-17870,-6344,-33317,26791,-31888,-5348,-23429,-21458,9715,-9821,-27420,-38399,-26731,-15895,-7281,692,-12936,-20922,-19343,4321,322,-6268,123,-16823
-11179,-10522,4272,-19361,14479,-6061,-9787,-16304,-14882,-3396,-172,1243,-16830,-11535,-19652,-3713,1052,-11111,-16739,-22083,-19485,9618,-9024,-30310,881,-22100,17227,-18747,-19880,-12160,-11900,-1141,-32671,-20145,-6080,-24340,-14827,-9222,4413,-1821,-33277,11311,-9835,-24870,8167,-15452,-26811,-12183,6028,-290,16735,-35078,-28925,-23964,-8825,-27321,3609,-16824,-8106,-76,-15562,-22022,-8130,-3942,10925,8433
-6010,-13661,-25595,-7474,-31067,-27118,-10733,-389,-22489,3697,-37822,-4765,-19749,3081,-31261,-41275,-24673,-1,21765,-19363,-28453,-5584,9394,-36540,-12445,-18748,-31744,-2112,-3677,20050,-29802,-16423,-12282,-9975,-19144,-12763,-6305,-7332,-13202,-12113,2433,-10527,-44556,-15882,-21420,-28121,-49119,-23441,-8466,-6688,-22058,-29812,-20016,-9997,-27716,-8258,-28995,-29355,18767,-4133,-367,943,-19249,-30131,-5660,-6318
8485,-11613,-22412,-16818,-30816,-39382,-16286,-11712,-30940,16664,-6677,-4003,15902,-30751,-10983,4575,3931,-6206,-3703,-20528,-23684,13279,-1374,916,-30252,-26268,7038,-21055,-15061,-9422,-8885,-28580,-38730,-8780,-43973,-12555,-26685,-41073,-36261,2862,-29808,-32251,-8699,-22248,-16533,-35692,-12338,21203,-8096,-8413,-13671,-15211,-26879,-329,17763,-23455,3947,-4050,-28947,-1388,-15884,-7174,477,-41712,935,-16338
-7686,-5027,-12147,10094,942,33770,-6556,7590,-37519,-16484,-34180,-21862,-15752,-12761,-15104,-26239,-19085,-2992,-24437,-11038,-4641,-28787,-21684,-15368,-5964,-24948,-14256,-11089,158,-31287,-20571,9952,-13749,-7980,-24193,-18455,-15650,-9837,-3931,-7067,-19778,584,-16361,114,-11679,-7550,-33577,-391,19289,-862,2602,-12414,-14335,-4197,-18636,4894,-29475,-11632,-7151,-15372,-1619,-21392,-6347,6007,9220,4390
-3426,1282,8116,-3364,5953,10610,-9192,13994,-15117,-1848,5679,-2928,522,-5187,-11974,-1436,3219,4248,-2460,5817,-7671,7806,568,-4548,-19324,7306,-8068,5261,5492,4436,-5985,-1068,-4594,-1625,-665,-3379,-6086,-11211,-6626,-2648,-11701,-11090,8330,-2755,-2264,-52,-3095,-2744,-9231,-4581,10374,-15986,-3235,4532,9599,-2961,-4443,-18524,12827,-2970,4421,-6017,626,-9279,15670,7265

